state,action,next_state
11.13,[0.65496505],10.5
10.5,[0.65496505],9.88
9.88,[0.65496505],9.25
9.25,[0.03639711],8.75
8.75,[0.03639711],8.75
8.75,[0.03639711],8.69
8.69,1,8.44
8.44,1,7.44
7.44,1,6.5
6.5,1,5.44
5.44,1,4.56
4.56,1,3.56
3.56,-1,2.69
2.69,-1,3.5
3.5,-1,4.63
4.63,-1,5.69
5.69,-1,6.69
6.69,-1,7.88
7.88,-1,9.0
9.0,-1,10.06
10.06,-1,11.06
11.06,-1,12.06
12.06,[0.0563094],12.94
12.94,-1,13.13
13.13,[0.00994789],13.88
13.88,[0.00994789],13.88
13.88,[0.00994789],13.81
13.81,[0.00994789],13.75
13.75,[0.00082646],13.75
13.75,[0.00082646],13.69
13.69,1,13.38
13.38,1,12.5
12.5,[-0.02362931],11.69
11.69,[-0.02362931],11.69
11.69,-1,11.94
11.94,[0.76746409],12.5
12.5,[0.76746409],11.88
11.88,[0.76746409],11.06
11.06,[0.76746409],10.38
10.38,[0.76746409],9.63
9.63,[0.76746409],8.75
8.75,[0.76746409],8.06
8.06,[0.76746409],7.25
7.25,[0.76746409],6.5
6.5,[0.31677597],5.81
5.81,[0.31677597],5.44
5.44,[0.31677597],5.19
5.19,1,4.63
4.63,1,3.75
3.75,1,2.75
2.75,1,2.0
2.0,[-0.0007762],1.63
1.63,[0.47726417],1.5
1.5,[0.47726417],1.25
1.25,[0.47726417],1.0
1.0,[-0.92295129],0.94
0.94,[-0.92295129],0.88
0.88,[-0.92295129],1.37
1.37,[-0.92295129],2.44
2.44,[-0.92295129],3.44
3.44,[0.08624971],4.25
4.25,[0.08624971],4.19
4.19,[0.08624971],4.13
4.13,[0.08624971],4.06
4.06,[0.08624971],4.06
4.06,-1,4.25
4.25,-1,5.31
5.31,-1,6.31
6.31,-1,7.38
7.38,-1,8.38
8.38,-1,9.5
9.5,-1,10.63
10.63,-1,11.56
11.56,-1,12.69
12.69,-1,13.75
13.75,-1,14.75
14.75,-1,15.81
15.81,-1,16.81
16.81,-1,17.94
17.94,-1,19.06
19.06,-1,20.06
20.06,-1,21.25
21.25,-1,22.31
22.31,-1,23.25
23.25,-1,24.37
24.37,-1,25.37
25.37,-1,26.37
26.37,[-0.3464007],27.25
27.25,[0.13020937],27.56
27.56,[0.13020937],27.44
27.44,[0.13020937],27.31
27.31,[0.13020937],27.19
27.19,[0.13020937],27.06
27.06,[0.13020937],26.94
26.94,[0.13020937],26.81
26.81,[0.13020937],26.69
26.69,[0.13020937],26.56
26.56,[0.13020937],26.44
26.44,[-0.09997013],26.37
26.37,[-0.09997013],26.44
26.44,[-0.09997013],26.5
26.5,[-0.09997013],26.5
26.5,[-0.09997013],26.56
26.56,[-0.09997013],26.62
26.62,[-0.09997013],26.69
26.69,[0.00010405],26.69
26.69,1,26.44
26.44,1,25.44
25.44,1,24.5
24.5,[-0.15885944],23.69
23.69,[-0.15885944],23.69
23.69,[-0.15885944],23.81
23.81,[-0.15885944],23.94
23.94,[-0.15885944],24.0
24.0,[-0.15885944],24.19
24.19,[-0.15885944],24.25
24.25,[-0.15885944],24.37
24.37,1,24.19
24.19,1,23.31
23.31,1,22.19
22.19,1,21.12
21.12,1,20.19
20.19,1,19.0
19.0,1,17.94
17.94,-1,17.25
17.25,-1,18.06
18.06,-1,19.19
19.19,-1,20.19
20.19,[-9.35992956e-05],21.0
21.0,[-9.35992956e-05],21.06
21.06,[-9.35992956e-05],21.06
21.06,[-9.35992956e-05],21.06
21.06,[-9.35992956e-05],21.06
21.06,[-9.35992956e-05],21.06
21.06,[-9.35992956e-05],21.06
21.06,[-9.35992956e-05],21.06
21.06,[-9.35992956e-05],21.06
21.06,[-9.35992956e-05],21.06
21.06,[-9.35992956e-05],21.06
21.06,[-9.35992956e-05],21.06
21.06,[-9.35992956e-05],21.06
21.06,[0.29271149],21.0
21.0,[0.29271149],20.75
20.75,[0.29271149],20.44
20.44,[0.29271149],20.19
20.19,[0.29271149],19.94
19.94,[0.29271149],19.62
19.62,[0.29271149],19.37
19.37,[0.29271149],19.06
19.06,[0.29271149],18.81
18.81,[0.29271149],18.56
18.56,[0.29271149],18.25
18.25,[-0.18237184],18.06
18.06,[-0.18237184],18.19
18.19,[-0.18237184],18.37
18.37,[-0.18237184],18.56
18.56,[-0.18237184],18.69
18.69,[-0.18237184],18.94
18.94,[-0.38015548],19.12
19.12,[-0.38015548],19.5
19.5,[-0.38015548],19.94
19.94,[-0.38015548],20.25
20.25,[-0.68570002],20.69
20.69,[0.90829686],20.94
20.94,[0.90829686],20.25
20.25,[0.90829686],19.25
19.25,[0.90829686],18.31
18.31,[0.90829686],17.5
17.5,[0.90829686],16.5
16.5,[0.90829686],15.5
15.5,[0.90829686],14.63
14.63,[0.90829686],13.69
13.69,[0.90829686],12.69
12.69,-1,12.44
12.44,-1,13.25
13.25,[2.2249648e-05],14.13
14.13,[2.2249648e-05],14.19
14.19,[2.2249648e-05],14.19
14.19,[2.2249648e-05],14.19
14.19,[2.2249648e-05],14.19
14.19,[2.2249648e-05],14.19
14.19,-1,14.5
14.5,-1,15.38
15.38,-1,16.5
16.5,-1,17.5
17.5,-1,18.62
18.62,-1,19.75
19.75,-1,20.75
20.75,[-0.7536887],21.81
21.81,[-0.7536887],22.75
22.75,1,23.12
23.12,[0.31686944],22.37
22.37,[0.31686944],22.0
22.0,[0.31686944],21.75
21.75,[0.31686944],21.44
21.44,[0.31686944],21.12
21.12,[0.31686944],20.87
20.87,[0.31686944],20.56
20.56,[0.31686944],20.25
20.25,[0.31686944],19.94
19.94,[0.31686944],19.62
19.62,[0.31686944],19.31
19.31,[0.31686944],19.0
19.0,[0.31686944],18.69
18.69,[0.31686944],18.37
18.37,[0.31686944],18.06
18.06,[0.0273068],17.81
17.81,[0.0273068],17.81
17.81,[0.0273068],17.81
17.81,[0.0273068],17.81
17.81,[0.0273068],17.81
17.81,[0.0273068],17.81
17.81,[0.0273068],17.81
17.81,-1,17.94
17.94,-1,18.87
18.87,-1,20.0
20.0,-1,21.0
21.0,-1,22.06
22.06,-1,23.19
23.19,-1,24.31
24.31,-1,25.31
25.31,-1,26.37
26.37,1,27.0
27.0,1,26.25
26.25,1,25.31
25.31,1,24.25
24.25,1,23.25
23.25,1,22.19
22.19,1,21.19
21.19,1,20.12
20.12,1,19.12
19.12,1,18.06
18.06,1,17.0
17.0,1,15.88
15.88,1,14.88
14.88,1,13.81
13.81,1,12.88
12.88,1,11.81
11.81,1,10.88
10.88,-1,10.13
10.13,-1,11.0
11.0,-1,12.06
12.06,-1,13.0
13.0,-1,14.13
14.13,-1,15.13
15.13,-1,16.25
16.25,-1,17.31
17.31,-1,18.44
18.44,-1,19.44
19.44,-1,20.56
20.56,-1,21.62
21.62,-1,22.62
22.62,-1,23.75
23.75,-1,24.69
24.69,-1,25.81
25.81,-1,26.94
26.94,[-0.2422261],27.81
27.81,[0.4283204],27.94
27.94,[0.4283204],27.56
27.56,[-0.12457953],27.31
27.31,[-0.12457953],27.31
27.31,[0.59710108],27.25
27.25,1,26.69
26.69,[0.46835427],25.81
25.81,[0.46835427],25.25
25.25,[0.46835427],24.81
24.81,1,24.25
24.25,1,23.25
23.25,1,22.31
22.31,1,21.19
21.19,1,20.25
20.25,1,19.19
19.19,-1,18.56
18.56,-1,19.37
19.37,-1,20.44
20.44,-1,21.56
21.56,[-3.75654316e-07],22.31
22.31,[-3.75654316e-07],22.44
22.44,[-3.75654316e-07],22.44
22.44,1,22.12
22.12,1,21.31
21.31,1,20.25
20.25,1,19.25
19.25,1,18.25
18.25,1,17.12
17.12,1,16.12
16.12,1,15.06
15.06,1,14.0
14.0,1,13.06
13.06,1,12.0
12.0,1,11.06
11.06,1,10.0
10.0,1,9.0
9.0,1,8.0
8.0,[0.09734292],7.25
7.25,[0.09734292],7.13
7.13,[0.09734292],7.0
7.0,[0.09734292],6.94
6.94,[0.09734292],6.88
6.88,[0.08486805],6.81
6.81,[0.08486805],6.81
6.81,[0.08486805],6.75
6.75,[0.08486805],6.69
6.69,[-9.61740329e-07],6.69
6.69,[-9.61740329e-07],6.69
6.69,[-9.61740329e-07],6.69
6.69,[-9.61740329e-07],6.69
6.69,[-9.61740329e-07],6.69
6.69,[-9.61740329e-07],6.69
6.69,[-9.61740329e-07],6.69
6.69,[-0.07340434],6.69
6.69,[-0.07340434],6.69
6.69,[-0.07340434],6.69
6.69,-1,6.88
6.88,-1,7.75
7.75,-1,8.88
8.88,-1,9.81
9.81,-1,10.88
10.88,-1,11.94
11.94,-1,13.0
13.0,-1,14.06
14.06,-1,15.19
15.19,-1,16.19
16.19,-1,17.25
17.25,-1,18.31
18.31,-1,19.37
19.37,-1,20.44
20.44,-1,21.5
21.5,-1,22.44
22.44,-1,23.5
23.5,-1,24.62
24.62,1,25.12
25.12,[0.03845021],24.56
24.56,[0.01380466],24.37
24.37,[-0.35708497],24.56
24.56,[-0.35708497],24.81
24.81,[-0.35708497],25.12
25.12,[0.1504337],25.37
25.37,-1,25.56
25.56,-1,26.5
26.5,-1,27.5
27.5,-1,28.56
28.56,-1,29.56
29.56,-1,30.5
30.5,-1,31.56
31.56,-1,32.63
32.63,-1,33.56
33.56,1,34.25
34.25,1,33.44
33.44,1,32.44
32.44,1,31.56
31.56,1,30.69
30.69,1,29.62
29.62,-1,29.06
29.06,-1,29.81
29.81,-1,30.87
30.87,-1,31.87
31.87,-1,32.75
32.75,-1,33.88
33.88,-1,34.88
34.88,-1,35.81
35.81,-1,36.88
36.88,-1,37.94
37.94,[0.13578459],38.75
38.75,[-0.51021388],38.88
38.88,-1,39.44
39.44,-1,40.31
40.31,-1,41.44
41.44,-1,42.38
42.38,-1,43.44
43.44,-1,44.5
44.5,-1,45.56
45.56,-1,46.5
46.5,-1,47.56
47.56,-1,48.63
48.63,-1,49.56
49.56,-1,50.63
50.63,-1,51.56
51.56,1,52.06
52.06,1,51.19
51.19,1,50.25
50.25,1,49.19
49.19,[0.03634347],48.44
48.44,[-0.38235687],48.38
48.38,[-0.38235687],48.69
48.69,[-0.38235687],49.06
49.06,[-0.38235687],49.38
49.38,[-0.38235687],49.75
49.75,[-0.38235687],50.13
50.13,[-0.38235687],50.44
50.44,[-0.38235687],50.81
50.81,[-0.75875413],51.25
51.25,1,51.56
51.56,1,50.75
50.75,1,49.69
49.69,1,48.75
48.75,1,47.69
47.69,1,46.69
46.69,[-0.2457486],46.0
46.0,[-0.2457486],46.13
46.13,[-0.2457486],46.31
46.31,-1,46.69
46.69,-1,47.63
47.63,-1,48.75
48.75,-1,49.63
49.63,-1,50.69
50.69,-1,51.63
51.63,1,52.31
52.31,1,51.5
51.5,1,50.56
50.56,1,49.56
49.56,1,48.56
48.56,1,47.5
47.5,[-0.54491506],46.88
46.88,-1,47.31
47.31,-1,48.31
48.31,-1,49.31
49.31,[-0.64914821],50.31
50.31,[-0.64914821],50.94
50.94,[-0.64914821],51.63
51.63,1,51.88
51.88,1,51.13
51.13,1,50.06
50.06,1,49.0
49.0,1,48.13
48.13,1,47.0
47.0,1,46.06
46.06,1,45.06
45.06,[0.08426117],44.25
44.25,[0.08426117],44.0
44.0,[0.08426117],43.94
43.94,[0.08426117],43.94
43.94,[0.08426117],43.81
43.81,[0.08426117],43.75
43.75,[0.08426117],43.75
43.75,[0.08426117],43.69
43.69,[0.11940676],43.63
43.63,[0.11940676],43.56
43.56,[0.11940676],43.5
43.5,-1,43.75
43.75,[0.05460825],44.44
44.44,[0.05460825],44.44
44.44,[0.05460825],44.44
44.44,[0.05460825],44.44
44.44,[0.05460825],44.5
44.5,[0.05460825],44.44
44.44,[0.05460825],44.44
44.44,[0.05460825],44.5
44.5,[0.05460825],44.44
44.44,[0.18595154],44.44
44.44,[0.69098031],44.19
44.19,[0.69098031],43.5
43.5,[0.69098031],42.88
42.88,[0.69098031],42.13
42.13,[0.69098031],41.44
41.44,[0.69098031],40.75
40.75,[0.69098031],40.06
40.06,[0.69098031],39.31
39.31,[0.69098031],38.75
38.75,[0.69098031],38.06
38.06,[0.69098031],37.38
37.38,[0.69098031],36.69
36.69,[0.69098031],36.0
36.0,[0.69098031],35.31
35.31,[0.69098031],34.63
34.63,1,33.88
33.88,1,32.94
32.94,-1,32.31
32.31,[0.24206263],32.81
32.81,[0.24206263],32.81
32.81,[0.24206263],32.5
32.5,[0.24206263],32.19
32.19,[0.24206263],32.06
32.06,[0.24206263],31.81
31.81,[0.24206263],31.5
31.5,[0.24206263],31.37
31.37,[0.24206263],31.06
31.06,[0.24206263],30.81
30.81,[0.24206263],30.69
30.69,[0.24206263],30.37
30.37,[0.24206263],30.12
30.12,[0.24206263],30.0
30.0,[0.00117191],29.75
29.75,[0.00117191],29.75
29.75,[0.00117191],29.75
29.75,[0.00117191],29.69
29.69,[0.00117191],29.69
29.69,[-0.08368971],29.62
29.62,[-0.08368971],29.62
29.62,1,29.31
29.31,[0.88555407],28.5
28.5,[0.88555407],27.62
27.62,[0.88555407],26.81
26.81,-1,26.37
26.37,-1,27.25
27.25,1,27.94
27.94,1,27.25
27.25,1,26.19
26.19,1,25.31
25.31,1,24.31
24.31,1,23.37
23.37,[-0.83967149],22.75
22.75,[-0.83967149],23.44
23.44,[-0.83967149],24.31
24.31,[-0.83967149],25.12
25.12,[-0.83967149],26.06
26.06,[0.13956847],26.62
26.62,-1,26.94
26.94,-1,27.81
27.81,-1,28.87
28.87,-1,29.81
29.81,-1,30.87
30.87,-1,31.81
31.81,-1,32.81
32.81,[-0.00317301],33.69
33.69,[-0.00317301],33.75
33.75,[-0.00317301],33.69
33.69,[-0.00317301],33.69
33.69,[-0.00317301],33.63
33.63,[-0.00317301],33.63
33.63,[-0.6906973],33.75
33.75,[-0.6906973],34.38
34.38,[-0.17332092],34.94
34.94,[-0.17332092],35.13
35.13,[-0.17332092],35.31
35.31,[-0.17332092],35.44
35.44,[-0.17332092],35.56
35.56,[-0.17332092],35.75
35.75,[-0.17332092],35.88
35.88,[-0.17332092],36.06
36.06,[-0.17332092],36.19
36.19,[-0.17332092],36.31
36.31,[-0.17332092],36.44
36.44,-1,36.81
36.81,-1,37.75
37.75,-1,38.81
38.81,-1,39.94
39.94,-1,40.94
40.94,-1,41.94
41.94,-1,43.0
43.0,-1,44.13
44.13,-1,45.13
45.13,-1,46.25
46.25,-1,47.19
47.19,-1,48.25
48.25,[-0.2282161],49.19
49.19,[-0.2282161],49.56
49.56,[-0.2282161],49.75
49.75,[-0.91904034],50.06
50.06,1,50.38
50.38,1,49.56
49.56,1,48.44
48.44,1,47.56
47.56,1,46.56
46.56,-1,45.88
45.88,-1,46.63
46.63,-1,47.75
47.75,-1,48.75
48.75,-1,49.69
49.69,-1,50.81
50.81,[0.37517804],51.44
51.44,1,51.13
51.13,1,50.19
50.19,1,49.13
49.13,1,48.25
48.25,1,47.13
47.13,1,46.06
46.06,[-0.90116073],45.56
45.56,-1,46.25
46.25,-1,47.31
47.31,-1,48.25
48.25,-1,49.31
49.31,-1,50.31
50.31,-1,51.38
51.38,1,51.88
51.88,1,51.13
51.13,1,50.13
50.13,1,49.13
49.13,1,48.13
48.13,1,47.13
47.13,1,46.06
46.06,1,45.13
45.13,1,44.13
44.13,-1,43.44
43.44,-1,44.13
44.13,-1,45.25
45.25,-1,46.31
46.31,-1,47.19
47.19,[0.01419024],48.19
48.19,[0.01419024],48.31
48.31,[0.01419024],48.25
48.25,[0.01419024],48.25
48.25,[0.01419024],48.31
48.31,[0.01419024],48.25
48.25,[0.01419024],48.31
48.31,-1,48.44
48.44,-1,49.19
49.19,[0.07246885],50.06
50.06,[0.07246885],50.19
50.19,[0.07246885],50.06
50.06,[-0.0164995],50.06
50.06,[-0.0164995],50.06
50.06,[-0.0164995],50.06
50.06,[-0.0164995],50.06
50.06,[-0.0164995],50.06
50.06,[-0.0164995],50.06
50.06,[-0.0164995],50.06
50.06,1,49.94
49.94,1,49.06
49.06,1,48.06
48.06,[0.00017558],47.25
47.25,[0.00017558],47.13
47.13,[0.00017558],47.13
47.13,1,47.0
47.0,1,46.13
46.13,1,45.06
45.06,[0.00106887],44.19
44.19,[0.00106887],44.0
44.0,[0.00106887],44.0
44.0,[0.00106887],44.0
44.0,[0.20796387],44.0
44.0,[0.20796387],43.88
43.88,[0.20796387],43.63
43.63,[0.20796387],43.44
43.44,[0.20796387],43.25
43.25,[0.20796387],43.06
43.06,[0.24845073],42.81
42.81,-1,42.94
42.94,-1,43.88
43.88,1,44.56
44.56,1,43.88
43.88,1,42.75
42.75,1,41.69
41.69,1,40.75
40.75,1,39.69
39.69,1,38.56
38.56,-1,37.94
37.94,1,38.25
38.25,1,37.56
37.56,[-0.01346489],36.63
36.63,-1,36.75
36.75,-1,37.75
37.75,-1,38.69
38.69,-1,39.69
39.69,[0.14202148],40.44
40.44,[0.14202148],40.5
40.5,[0.14202148],40.31
40.31,[0.14202148],40.19
40.19,[0.14202148],40.06
40.06,1,39.75
39.75,1,38.94
38.94,1,37.88
37.88,1,36.88
36.88,1,35.94
35.94,1,34.81
34.81,1,33.81
33.81,1,32.88
32.88,1,31.81
31.81,1,30.81
30.81,1,29.87
29.87,1,28.87
28.87,1,27.94
27.94,1,27.0
27.0,1,26.0
26.0,1,25.06
25.06,1,24.06
24.06,1,23.06
23.06,1,22.12
22.12,1,21.12
21.12,1,20.06
20.06,1,19.19
19.19,1,18.12
18.12,1,17.12
17.12,1,16.19
16.19,1,15.19
15.19,1,14.25
14.25,1,13.25
13.25,1,12.19
12.19,1,11.25
11.25,1,10.25
10.25,1,9.25
9.25,1,8.25
8.25,1,7.25
7.25,1,6.31
6.31,1,5.25
5.25,1,4.31
4.31,1,3.25
3.25,[-0.57229339],2.44
2.44,[-0.57229339],2.81
2.81,[0.03090595],3.31
3.31,[0.03090595],3.25
3.25,[0.03090595],3.25
3.25,[0.02919308],3.25
3.25,[0.02919308],3.25
3.25,[0.02919308],3.25
3.25,[0.02919308],3.19
3.19,[0.02919308],3.19
3.19,[0.02919308],3.13
3.13,[0.02919308],3.06
3.06,[0.02919308],3.0
3.0,[0.02919308],2.94
2.94,1,2.69
2.69,1,1.69
1.69,-1,0.94
0.94,[0.1622473],1.56
1.56,[0.1622473],1.5
1.5,[0.1622473],1.25
1.25,[0.1622473],1.12
1.12,[0.1622473],0.81
0.81,[0.1622473],0.63
0.63,[0.1622473],0.5
0.5,[0.1622473],0.25
0.25,[0.1622473],0.12
0.12,[0.1622473],0.0
0.0,[0.1622473],-0.06
-0.06,[0.1622473],-0.31
-0.31,[0.35979787],-0.5
-0.5,[0.35979787],-0.81
-0.81,[-0.53468238],-1.06
-1.06,[-0.53468238],-0.63
-0.63,[0.09301516],-0.25
-0.25,[0.09301516],-0.25
-0.25,[0.09301516],-0.25
-0.25,[0.09301516],-0.25
-0.25,[0.09301516],-0.25
-0.25,1,-0.44
-0.44,1,-1.25
-1.25,-1,-2.0
-2.0,-1,-1.19
-1.19,-1,0.0
0.0,-1,0.94
0.94,[0.01766309],1.88
1.88,[0.31478146],1.94
1.94,[0.31478146],1.63
1.63,[0.31478146],1.31
1.31,[0.31478146],0.94
0.94,[0.31478146],0.63
0.63,[0.31478146],0.31
0.31,[0.31478146],0.0
0.0,[0.31478146],-0.31
-0.31,[0.31478146],-0.63
-0.63,[0.31478146],-0.94
-0.94,[-0.47547661],-1.19
-1.19,[-0.47547661],-0.75
-0.75,[-0.47547661],-0.19
-0.19,[-0.47547661],0.19
0.19,[-0.47547661],0.75
0.75,[-0.47547661],1.25
1.25,[-0.47547661],1.75
1.75,[-0.71398769],2.31
2.31,[-0.71398769],3.06
3.06,[-0.71398769],3.88
3.88,[-0.71398769],4.69
4.69,-1,5.44
5.44,-1,6.5
6.5,-1,7.5
7.5,-1,8.63
8.63,[0.44534168],9.38
9.38,-1,9.38
9.38,-1,10.25
10.25,1,10.88
10.88,1,10.13
10.13,1,9.0
9.0,1,8.06
8.06,1,7.0
7.0,1,6.0
6.0,1,4.94
4.94,1,3.81
3.81,1,2.81
2.81,1,1.69
1.69,1,0.69
0.69,1,-0.25
-0.25,1,-1.19
-1.19,1,-1.56
-1.56,1,-1.75
-1.75,1,-1.94
-1.94,1,-2.13
-2.13,1,-2.19
-2.19,[-0.71900819],-2.25
-2.25,[-0.71900819],-2.38
-2.38,[-0.71900819],-2.44
-2.44,[-0.00146461],-2.5
-2.5,[-0.00146461],-2.56
-2.56,[-0.92060349],-2.56
-2.56,-1,-2.56
-2.56,[-0.25469464],-2.56
-2.56,[-0.25469464],-2.44
-2.44,1,-2.25
-2.25,1,-2.75
-2.75,[-0.03485743],-2.75
-2.75,[-0.01797163],-2.75
-2.75,[-0.01797163],-2.81
-2.81,[-0.01797163],-4.25
-4.25,[-0.01797163],-4.5
-4.5,[-0.01797163],-4.5
-4.5,[-0.00472924],-4.5
-4.5,[0.3857775],-4.5
-4.5,[0.3857775],-5.0
-5.0,[0.3857775],-5.38
-5.38,-1,-5.63
-5.63,-1,-4.63
-4.63,-1,-3.38
-3.38,-1,-2.25
-2.25,1,-1.44
-1.44,1,-2.25
-2.25,1,-3.44
-3.44,1,-4.56
-4.56,-1,-5.25
-5.25,-1,-4.25
-4.25,-1,-3.0
-3.0,-1,-1.94
-1.94,-1,-0.75
-0.75,-1,0.44
0.44,1,1.12
1.12,[-0.10114729],0.5
0.5,-1,0.63
0.63,-1,1.69
1.69,[0.20702176],2.63
2.63,[0.77854518],2.5
2.5,[0.77854518],1.81
1.81,[-0.54425371],1.25
1.25,[-0.54425371],1.75
1.75,[-0.54425371],2.25
2.25,[0.07298105],2.63
2.63,[-0.05415054],2.63
2.63,[-0.05415054],2.5
2.5,[-0.05415054],2.5
2.5,[-0.05415054],2.44
2.44,[-0.05415054],2.44
2.44,[-0.05415054],2.38
2.38,[-0.05415054],2.38
2.38,[-0.05415054],2.31
2.31,[-0.05415054],2.31
2.31,[-0.05415054],2.25
2.25,[-0.05415054],2.25
2.25,[-0.05415054],2.25
2.25,-1,2.44
2.44,-1,3.5
3.5,-1,4.56
4.56,-1,5.69
5.69,1,6.5
6.5,1,5.88
5.88,1,4.69
4.69,1,3.69
3.69,1,2.63
2.63,-1,1.88
1.88,-1,2.88
2.88,-1,3.94
3.94,[0.06350801],4.69
4.69,1,4.5
4.5,1,3.56
3.56,1,2.5
2.5,1,1.44
1.44,1,0.37
0.37,1,-0.69
-0.69,1,-1.88
-1.88,1,-2.94
-2.94,1,-4.06
-4.06,1,-5.25
-5.25,-1,-5.81
-5.81,-1,-4.75
-4.75,-1,-3.81
-3.81,-1,-2.63
-2.63,-1,-1.37
-1.37,1,-0.5
-0.5,[0.55060905],-1.37
-1.37,[0.55060905],-2.0
-2.0,[-0.6264161],-2.38
-2.38,[-0.6264161],-1.81
-1.81,[-0.6264161],-1.12
-1.12,[-0.6264161],-0.5
-0.5,[-0.6264161],0.19
0.19,[-0.6264161],0.88
0.88,[-0.6264161],1.5
1.5,[-0.6264161],2.25
2.25,[-0.15714192],2.88
2.88,[-0.15714192],3.06
3.06,[-0.15714192],3.25
3.25,1,3.19
3.19,1,2.38
2.38,[0.0006244],1.44
1.44,[0.0006244],1.37
1.37,[0.0006244],1.31
1.31,1,1.19
1.19,1,0.31
0.31,1,-0.75
-0.75,1,-1.88
-1.88,1,-2.94
-2.94,1,-4.13
-4.13,[-0.00012839],-5.06
-5.06,-1,-5.06
-5.06,-1,-3.94
-3.94,-1,-2.88
-2.88,-1,-1.75
-1.75,[0.64425758],-0.88
-0.88,-1,-1.06
-1.06,-1,0.0
0.0,-1,1.06
1.06,-1,2.25
2.25,-1,3.31
3.31,[0.07432554],4.25
4.25,[0.07432554],4.19
4.19,-1,4.44
4.44,-1,5.56
5.56,-1,6.69
6.69,-1,7.69
7.69,-1,8.81
8.81,-1,10.0
10.0,-1,11.0
11.0,-1,12.0
12.0,-1,13.06
13.06,-1,14.19
14.19,-1,15.31
15.31,1,15.94
15.94,[0.02067974],15.31
15.31,[0.02067974],15.25
15.25,[0.02067974],15.25
15.25,[0.02067974],15.13
15.13,[0.02067974],15.06
15.06,[-0.30823844],15.13
15.13,1,15.13
15.13,1,14.31
14.31,1,13.25
13.25,1,12.31
12.31,1,11.31
11.31,1,10.31
10.31,1,9.25
9.25,[-0.06429978],8.44
8.44,[-0.06429978],8.44
8.44,[-0.06429978],8.38
8.38,[-0.06429978],8.38
8.38,[-0.06429978],8.31
8.31,[-0.06429978],8.31
8.31,[-0.06429978],8.25
8.25,[-0.06429978],8.25
8.25,[-0.06429978],8.25
8.25,-1,8.44
8.44,-1,9.5
9.5,-1,10.63
10.63,-1,11.56
11.56,-1,12.69
12.69,-1,13.81
13.81,1,14.63
14.63,1,13.94
13.94,1,12.94
12.94,1,11.81
11.81,1,10.81
10.81,1,9.88
9.88,[-0.99391786],8.88
8.88,[-0.99391786],9.44
9.44,[-0.99391786],10.56
10.56,[-0.99391786],11.56
11.56,[-0.99391786],12.56
12.56,[-0.99391786],13.69
13.69,[-0.99391786],14.75
14.75,[-0.99391786],15.88
15.88,[-0.99391786],17.0
17.0,[-0.99391786],17.94
17.94,[-0.99391786],19.0
19.0,[-0.99391786],20.06
20.06,[-0.99391786],21.12
21.12,[-0.99391786],22.19
22.19,[-0.99391786],23.12
23.12,[-0.99391786],24.19
24.19,[-0.99391786],25.19
25.19,[-9.11682432e-07],26.12
26.12,[-9.11682432e-07],26.31
26.31,[-9.11682432e-07],26.25
26.25,[-9.11682432e-07],26.25
26.25,[-9.11682432e-07],26.19
26.19,[-9.11682432e-07],26.12
26.12,[-9.11682432e-07],26.12
26.12,[-9.11682432e-07],26.06
26.06,-1,26.12
26.12,-1,26.94
26.94,1,27.81
27.81,1,27.19
27.19,1,26.19
26.19,1,25.19
25.19,1,24.31
24.31,[-0.00067938],23.37
23.37,[-0.00128468],23.25
23.25,[-0.31867498],23.44
23.44,[0.92768767],23.37
23.37,[0.92768767],22.56
22.56,[0.92768767],21.75
21.75,[0.92768767],20.81
20.81,[0.92768767],19.87
19.87,[0.92768767],18.87
18.87,[0.92768767],17.94
17.94,[0.92768767],17.0
17.0,[0.92768767],16.12
16.12,[0.92768767],15.13
15.13,[0.92768767],14.13
14.13,[0.92768767],13.25
13.25,[0.92768767],12.25
12.25,[0.92768767],11.31
11.31,[0.92768767],10.44
10.44,[0.92768767],9.5
9.5,[0.92768767],8.63
8.63,[0.92768767],7.69
7.69,[0.92768767],6.69
6.69,-1,6.25
6.25,[-0.34450296],7.13
7.13,[-0.34450296],7.44
7.44,[-0.45809855],7.75
7.75,[-0.45809855],8.19
8.19,[-0.45809855],8.56
8.56,[-0.45809855],9.0
9.0,[-0.45809855],9.5
9.5,-1,10.06
10.06,1,10.69
10.69,[0.02002391],10.25
10.25,1,9.94
9.94,1,9.0
9.0,1,8.06
8.06,1,7.0
7.0,1,6.06
6.06,-1,5.38
5.38,[0.00016597],6.06
6.06,[0.00016597],6.06
6.06,[0.00016597],6.0
6.0,[0.00016597],6.06
6.06,[-0.98986472],6.13
6.13,[0.1778992],6.75
6.75,[0.1778992],6.63
6.63,[0.1778992],6.38
6.38,[0.1778992],6.31
6.31,[0.1778992],6.0
6.0,[0.1778992],5.81
5.81,-1,6.13
6.13,-1,7.0
7.0,-1,8.13
8.13,[-0.62846972],9.13
9.13,[-0.62846972],9.75
9.75,[-0.62846972],10.5
10.5,[-0.62846972],11.13
11.13,[-0.62846972],11.88
11.88,[-0.62846972],12.56
12.56,[-0.62846972],13.31
13.31,[-0.62846972],13.94
13.94,[-0.62846972],14.63
14.63,[-0.09363],15.19
15.19,[-0.09363],15.38
15.38,[-0.09363],15.38
15.38,[-0.09363],15.5
15.5,[0.00010049],15.56
15.56,[0.00010049],15.5
15.5,[0.00010049],15.5
